Year,Month,Day,Date,Carapetyan Address,Carapetyan Country,Sender,Recipient,Substance of Correspondence,Archive,Archival Signature,Notes
1967,10,23,1967-10-23,,,Erwin R. Jacobi,Armen Carapetyan,"A college of Jacobi's, an editor of a large German publisher, was at the international book fair in Frankfurt and remarked that AIM would have been in the position to make considerable sales if present.",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1967,10,26,1967-10-26,,,Armen Carapetyan,Oliver Strunk,"Reported by Oliver Strunk: ""Though we failed to bring out a volume last year the [Jacques Arcadelt] edition, you will be interested to know, is getting on, in fact very well, I hope to bring out before the year-end two volumes. Four more are in the works. [Albert] Seay has done nobly. I wish all my collaborators were as diligent and as reliable as he.""","New York Public Library, Library for the Performing Arts","JPB 92-71 (Gustave Reese papers), Series 1, Folder 1255",
1967,11,9,1967-11-9,,,Erwin R. Jacobi,Armen Carapetyan,Jacobi explains why introductions for the Jean-Philippe Rameau edition are longer and are taking more time than initially anticipated.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1967,11,9,1967-11-9,,,Armen Carapetyan,Erwin R. Jacobi,"Carapetyan looking to sell property, and thereafter split his time between Spain and elsewhere; Carapetyan does not do book fairs: ""The only time we exhibited books was at the meeting of the IMS in New York.""",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1967,11,14,1967-11-14,,,Erwin R. Jacobi,Armen Carapetyan,Jacobi is pleased with the new layout for vol. 3 of the Jean-Philippe Rameau edition.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1967,11,21,1967-11-21,"Altea la Vieja, Alicante Finca Santa Barbara",Spain,Jan LaRue,Armen Carapetyan,LaRue has interest in establishing a musicological reference library in Italy as a joint venture with the American Academy in Rome; Carapetyan might deposit microfilms?,University of Pennsylvania Special Collections,"Ms. Coll. 221 (American Musicological Society records), Box 54, Folder 1576",
1967,11,30,1967-11-30,"Altea la Vieja, Alicante Finca Santa Barbara",Spain,Oliver Strunk,Jan LaRue,"From Carapetyan on Hans Tischler: ""Had the AMS joined forces with me on this I should perhaps have found renewed courage and gone beyond the Iron Curtain (Leipzig) where one may still find (?) brave and expert engravers""",University of Pennsylvania Special Collections,"Ms. Coll. 221 (American Musicological Society records), Box 54, Folder 1576",
1967,12,3,1967-12-3,,,Armen Carapetyan,Donald J. Grout,"Carapetyan had a duodenal ulcer for 35 years; ""European costs are rapidly approaching those in America; but now we must see what the much talked of inflation in the US is to be.""","Cornell University, Division of Rare and Manuscript Collections","Donald Jay Grout Papers, 1929–2002, Box 52, Folder 35",
1967,12,4,1967-12-4,,,Erwin R. Jacobi,Armen Carapetyan,Jacobi has discovered that there is much more for the Jean-Philippe Rameau edition to cover than initially supposed in February 1963.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1967,12,12,1967-12-12,,,Armen Carapetyan,Erwin R. Jacobi,"""I shall have a copy sent to [François] Lesure, as you wish. The least Lesure could do, incidentally, is to show some consideration toward what I do. He was an obscure student when I brought him to Florence and kept him at our villa where we had our second summer session, letting him enroll as a student, all expenses paid. There he met [Jacques] Handschin, [Yvonne] Rokseth, others who were on my staff, and a host of visiting musicologists. He was quick to make the best of his contacts. He is diligent, ambitious, a politician, not necessarily always loyal.""",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1967,12,13,1967-12-13,,,Erwin R. Jacobi,Armen Carapetyan,Jacobi received dummy of facsimile part of vol. 3 of the Jean-Philippe Rameau edition.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1967,12,16,1967-12-16,,,Erwin R. Jacobi,Armen Carapetyan,Jacobi sends part of an introduction and thanks Carapetyan for sending a review copy to Jack Westrup.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1967,12,16,1967-12-16,,,Armen Carapetyan,Erwin R. Jacobi,Carapetyan is interested to see if Jacobi's contacts can find a buyer for Carapetyan's house.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1967,12,21,1967-12-21,,,Armen Carapetyan,Erwin R. Jacobi,Carapetyan is not a fan of the oblong format for vol. 3 of the Jean-Philippe Rameau edition.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1967,12,28,1967-12-28,,,Erwin R. Jacobi,Armen Carapetyan,"Jacobi offers a suggestion for how to advertise Carapetyan's house in the ""Neue Zürcher Zeitung.""",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1967,12,29,1967-12-29,,,Erwin R. Jacobi,Armen Carapetyan,Jacobi offers an explanation for the slowness of the edition's completion.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1968,1,4,1968-1-4,,,Erwin R. Jacobi,Armen Carapetyan,Jacobi offers updates about several volumes for the Jean-Philippe Rameau edition.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1968,1,19,1968-1-19,,,Erwin R. Jacobi,Armen Carapetyan,Jacobi asks for Carapetyan to raise prices of the Jean-Philippe Rameau edition; sends part of an introduction.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1968,1,26,1968-1-26,,,Erwin R. Jacobi,Armen Carapetyan,Jacobi asks for review copies to be sent to Ludwig Finscher's reviewer Helmut Haack; asks Carapetyan to send review copies to the seven journals chosen.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1968,2,6,1968-2-6,,,Erwin R. Jacobi,Armen Carapetyan,"The review copy had not been sent to ""Rivista italiana di musicologica.""",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1968,2,13,1968-2-13,,,Erwin R. Jacobi,Armen Carapetyan,Some of Jacobi's subscribers must receive the 15% discount; he insists on seven review copies.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1968,2,13,1968-2-13,,,Armen Carapetyan,Erwin R. Jacobi,"""[Ludwig] Finscher: I know him – perhaps longer and better than you. He came to me when he was only a student. He used to come to me direct for review copies, but laden with a guilty conscience about his commitments to me, he now turns to my office in American or to authors. He is a good man, both humanly and musicologically.""",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1968,2,18,1968-2-18,,,Erwin R. Jacobi,Armen Carapetyan,Jacobi sends various notices about reviews; offers an update about the preparation of vols. 5 and 6.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1968,3,7,1968-3-7,,,Armen Carapetyan,Erwin R. Jacobi,Carapetyan notices that Jacobi has been selling subscriptions at a discount in violation of contract.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1968,3,9,1968-3-9,,,Armen Carapetyan,Donald J. Grout,"Carapetyan has taken on a sub-series called ""Flemish Musicians in the Spanish Court.""","Cornell University, Division of Rare and Manuscript Collections","Donald Jay Grout Papers, 1929–2002, Box 52, Folder 35",
1968,3,13,1968-3-13,,,Erwin R. Jacobi,Armen Carapetyan,Jacobi complains about a duplicate page number.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1968,3,16,1968-3-16,,,Erwin R. Jacobi,Armen Carapetyan,"Jacobi attempts to negotiate with Carapetyan over discount with subscribers, asks about honorarium.",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1968,3,20,1968-3-20,,,Armen Carapetyan,Erwin R. Jacobi,Jacobi will have to notify his subscribers that the discount will be discontinued for the rest of the series; no discount for Jacobi on any other series; Carapetyan did not agree to send out volumes for review; asks Jacobi to write fewer letters; Carapetyan's accountant is a English man living in Valencia.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1968,3,22,1968-3-22,,,Secretary to Erwin Jacobi,Armen Carapetyan,Jacobi's secretarty sends a slip for vol. 1 corrections.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1968,3,26,1968-3-26,"Finca de S. Bárbara, Altea la Vieja (Alicante)",Spain,Erwin R. Jacobi,Armen Carapetyan,Jacobi regrets the possible misunderstanding.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1968,3,26,1968-3-26,,,Armen Carapetyan,Erwin R. Jacobi,"""Insinuations that I might be incorrect in handling financial matters is not only humiliating but infuriating.""",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1968,3,28,1968-3-28,"Finca de S. Bárbara, Altea la Vieja (Alicante)",Spain,Armen Carapetyan,Erwin R. Jacobi,Carapetyan is selling his house but will not hear much until May or June 1968.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1968,4,1,1968-4-1,,,Armen Carapetyan,Erwin R. Jacobi,"Carapetyan surveyed the land at his house, which he is selling.",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1968,4,5,1968-4-5,"Finca de S. Bárbara, Altea la Vieja (Alicante)",Spain,Erwin R. Jacobi,Armen Carapetyan,There is an issue of sorting out subscribers that Jacobi had individually signed up.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1968,4,9,1968-4-9,"Finca de S. Bárbara, Altea la Vieja (Alicante)",Spain,Erwin R. Jacobi,Armen Carapetyan,"Jacobi sends updates on the size of vol. 5; will prepare a list of subscribers that Jacobi signed up to give to the Dallas AIM office, asks that Carapetyan be flexible with procedures for payment with some of these subscribers.",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1968,4,16,1968-4-16,"Finca de S. Bárbara, Altea la Vieja (Alicante)",Spain,Erwin R. Jacobi,Armen Carapetyan,"Jacobi forwards contacts from the Strasbourg University Library, which has been trying to acquire the edition at an author's price (""Being myself born in Strasbourg and of a Strasbourg family still well-known there, I feel to be in a rather awkward position to reply"").",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1968,4,22,1968-4-22,,,Armen Carapetyan,Erwin R. Jacobi,"Carapetyan is willing to offer a discount for Raymond Meylan, since he is ""a young man with a wife and child and not affluent, and he seems to be an agreeable person. I am always sympathetic with serious and courteous young musicologists""; thanks Jacobi for his rational and courteous response to Carapetyan's recent criticism.",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1968,4,30,1968-4-30,,,Erwin R. Jacobi,Armen Carapetyan,Jacobi asks for a discount for a subscriber.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1968,4,30,1968-4-30,,,Erwin R. Jacobi,Harriette Carapetyan,"Carapetyan wants to change procedure for dealing with fifteen subscribers that Jacobi had signed up: vols. 3 and 4 will be sent directly from Dallas without an author's discount, and Jacobi sends the names and addresses for these subscribers.",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1968,5,7,1968-5-7,"Finca de S. Bárbara, Altea la Vieja (Alicante)",Spain,Erwin R. Jacobi,Armen Carapetyan,Jacobi had signed up fifteen subscribers and communicated directly to them; he offers various updates about volumes in progress.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1968,5,13,1968-5-13,"Finca de S. Bárbara, Altea la Vieja (Alicante)",Spain,Erwin R. Jacobi,Armen Carapetyan,"Jacobi informs Carapetyan that Jacques Chailley will review the Jean-Philippe Rameau edition in the ""Revue de Musicologie.""",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1968,5,14,1968-5-14,,,Armen Carapetyan,Erwin R. Jacobi,Carapetyan thanks Jacobi for dealing with subscriptions.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1968,5,15,1968-5-15,"Altea la Vieja, Alicante Finca Santa Barbara",Spain,Armen Carapetyan,Donald J. Grout,"""But it has been no fun to carry on with 30-40 publications in the works at any given moment, to look after every detail by correspondence, especially with printers and engravers, not without constant urging and poking and demanding with some of my editors, etc., etc.""; ""Myron [Gilmore, director of Harvard University's Villa I Tatti] and I traveled together to and in Europe in 1934... Myron tells me that they have had a benefactor for music and they have added a wing for the music collection""; ""I was about to establish a music center in Florence when the McCarran Act uprooted us.""","Cornell University, Division of Rare and Manuscript Collections","Donald Jay Grout Papers, 1929–2002, Box 52, Folder 35",
1968,5,20,1968-5-20,"Finca de S. Bárbara, Altea la Vieja (Alicante)",Spain,Erwin R. Jacobi,Armen Carapetyan,"Jacobi thanks Carapetyan for ""the brilliant volume III.""",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1968,5,28,1968-5-28,,,Erwin R. Jacobi,Armen Carapetyan,"Jacobi sends updates about vols. 4, 5, and 6.",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1968,5,30,1968-5-30,,,Armen Carapetyan,Erwin R. Jacobi,"""It is noble of [the printer Jo.] Willemsen to press with the thing. He knows my position…I had plenty of it before Willemsen came as director a few years ago, though it is now 20 years  that I work with the firm. Willemsen has agreed to look after our editions (besides [Jean-Philippe] Rameau I have about ten other books with the Nijmegen printers in progress), even after he goes to Amsterdam on June 4th until they are completed.""",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1968,6,10,1968-6-10,"Finca de S. Bárbara, Altea la Vieja (Alicante)",Spain,Erwin R. Jacobi,Armen Carapetyan,Jacobi sent free copy of Rameau edition to André Malraux with the idea that it would generate purchases on behalf of the French public libraries in his ministry; complete microfilm material for vol. 6 sent to [the printer Jo.] Willemsen; sent AIM in Dallas the names of two potential subscribers; cannot understand why Carapetyan will not raise the price for the entire set.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1968,6,12,1968-6-12,,,Erwin R. Jacobi,Armen Carapetyan,"Jacobi sent the first part of the introduction for vol. 4; Chailley will review vols. 1–3, perhaps with vol. 4.",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1968,6,14,1968-6-14,,,Armen Carapetyan,Erwin R. Jacobi,"Carapetyan received first part of introduction for vol. 4; ""Cost of vol. 3 (printing bill) was just short of $5000. Income from copies sent out so far covers about half that sum.""",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1968,6,18,1968-6-18,,,Erwin R. Jacobi,Armen Carapetyan,Jacobi sent [the printer Jo.] Willemsen materials for vol. 6.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1968,6,28,1968-6-28,,,Armen Carapetyan,Oliver Strunk,"Reported by Oliver Strunk: ""Vols. IV and V too have appeared [of the Jacques Arcadelt edition], and Vols. VIII and IX are going to press. So we have in print Vols. I, III, IV, V, VI, and soon will have VIII and IX. Vol. VII is being engraved. Vols. II and X I must yet receive from [Albert] Seay. Certainly he has done the job at a pace nobody managed in my experience.""","New York Public Library, Library for the Performing Arts","JPB 92-71 (Gustave Reese papers), Series 1, Folder 1255",
1968,7,3,1968-7-3,,,Erwin R. Jacobi,Armen Carapetyan,Jacobi is correcting dummy for facsimiles in vols. 5 and 6.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1968,7,4,1968-7-4,,,Erwin R. Jacobi,Armen Carapetyan,"Andres Briner, music editor at the ""Neue Zürcher Zeitung,"" is interested in reviewing vols. 1–3 and is willing to pay 1/3 of the price for them.",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1968,7,6,1968-7-6,,,Armen Carapetyan,Erwin R. Jacobi,"""Mr. W[illemsen] himself wrote recently that he can and would like to bring out the rest of the edition this year IF Dr. Jacobi would co-operate with the introductions. Judging by the pace you have taken with the others, I see no hope; and I find it a great pity.""",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1968,7,15,1968-7-15,,,Armen Carapetyan,Erwin R. Jacobi,"Carapetyan's trip proved impossible, so he will be at house in Spain for now.",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1968,7,20,1968-7-20,,,Erwin R. Jacobi,Armen Carapetyan,"Jacobi asks for Carapetyan to send review copies to the ""Neue Zürcher Zeitung""; complains about aesthetic layout in vol. 3; gave an introduction card to one of his students, Hermann Danuser, who ""is a very gifted and sympathetic student in musicology,"" and Danuser will be in Spain shortly working on codices of the fourteenth century.",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1968,8,6,1968-8-6,,,Erwin R. Jacobi,Armen Carapetyan,"Jacobi sends a review of the Jean-Philippe Rameau edition in ""Die Musikforschung""; Meier decided to purchase land in Tuscany before he would have visited Carapetyan's property.",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1968,8,15,1968-8-15,,,Erwin R. Jacobi,Armen Carapetyan,Jacobi sends a portion of the introduction for vol. 4 to Carapetyan; proposes listing page numbers in MD advertisements for Jean-Philippe Rameau edition.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1968,8,19,1968-8-19,,,Erwin R. Jacobi,Armen Carapetyan,"Vol. 4 is complete from Jacobi, and now the volume is with Prof. Cuthbert Girdlestone for assistance with the translation.",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1968,8,20,1968-8-20,,,Erwin R. Jacobi,Armen Carapetyan,Jacobi sends organizational material for vol. 4 of the Jean-Philippe Rameau edition.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1968,8,26,1968-8-26,,,Armen Carapetyan,Oliver Strunk,"Reported by Oliver Strunk: ""The Introductions to [Jacques] Arcadelt VIII and IX came rather late, as compared with the music, and the printer delayed the setting. I hope to see these volumes to press next month. I just sent the proof (music) of Volume VII to [Albert] Seay: a big volume; and Seay recently sent the Ms of Volume II, gone to the engraver. So there remains only Volume X. Not bad going!""","New York Public Library, Library for the Performing Arts","JPB 92-71 (Gustave Reese papers), Series 1, Folder 1255",
1968,8,27,1968-8-27,,,Armen Carapetyan,Erwin R. Jacobi,"The last congress that Carapetyan attended was the 1952 IMS in Utrecht; wanted to head to René Bernard Lenaerts's symposium on editing polyphony, but now cannot attend; a review of the Jean-Philippe Rameau edition in a newspaper does not make sense.",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 32:6",
1968,9,8,1968-9-8,,,Donald J. Grout,Armen Carapetyan,Grout raises the possibility of working with Carapetyan for the Alessandro Scarlatti opera edition.,"Cornell University, Division of Rare and Manuscript Collections","Donald Jay Grout Papers, 1929–2002, Box 52, Folder 35",
1968,9,8,1968-9-8,,,Erwin R. Jacobi,Armen Carapetyan,Jacobi notes that his edition is beginning to be studied and quoted in professional circles.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 32:6",
1968,9,25,1968-9-25,,,Erwin R. Jacobi,Armen Carapetyan,Jacobi suggests facsimiles for vols. 5 and 6.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 32:6",
1968,9,25,1968-9-25,"Altea la Vieja, Alicante Finca Santa Barbara",Spain,Armen Carapetyan,Erwin R. Jacobi,The printer Jo. Willemsen has to commute four hours daily between Nijmegen and Amsterdam until February 1969.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1968,9,30,1968-9-30,"Altea la Vieja, Alicante Finca Santa Barbara",Spain,Armen Carapetyan,Erwin R. Jacobi,"The printer Jo. Willemsen not always a good collaborator; ""Besides years of work together, I have tried to develop what, after all, is the most important: the human element… probably thanks to his clash at Nijmegen and his move to a new post, there have been a number of grievous errors... I have had to swallow and keep silent.""",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 32:6",
1968,10,15,1968-10-15,,,Erwin R. Jacobi,Armen Carapetyan,Jacobi encloses a review; he suggests reproducing an autograph letter as a facsimile.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 32:6",
1968,10,22,1968-10-22,"Altea la Vieja, Alicante Finca Santa Barbara",Spain,Armen Carapetyan,Erwin R. Jacobi,"""Besides limited secretarial help here in Spain, my own limited energies this year really bring about press of work.""",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 31:4 (1)",
1968,10,28,1968-10-28,,,Armen Carapetyan,Donald J. Grout,"""Foolishly, or unluckily, I took on big projects like the Flemish composers in the Spanish Court when I should not have""; Carapetyan tried a Polish firm, but the collaboration was unsuccessful; Carapetyan has 49 Publications currently in process, all directed by correspondence.","Cornell University, Division of Rare and Manuscript Collections","Donald Jay Grout Papers, 1929–2002, Box 52, Folder 35",
1968,11,10,1968-11-10,,,Donald J. Grout,Armen Carapetyan,Grout consults with Carapetyan about publishing issues with a volume of the Alessandro Scarlatti opera edition.,"Cornell University, Division of Rare and Manuscript Collections","Donald Jay Grout Papers, 1929–2002, Box 52, Folder 35",
1968,12,5,1968-12-5,,,C. Welti,Armen Carapetyan,Jacobi is away for a musicological conference abroad.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 32:6",
1968,12,25,1968-12-25,,,Armen Carapetyan,Donald J. Grout,"The advice from Bärenreiter to Grout was not wrong: 500 copies may be sold, but over a long period only.","Cornell University, Division of Rare and Manuscript Collections","Donald Jay Grout Papers, 1929–2002, Box 52, Folder 35",
1968,12,29,1968-12-29,,,Erwin R. Jacobi,Armen Carapetyan,Jacobi offers apologies about delays; corrections were needed.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 32:6",
1968,12,30,1968-12-30,,,Armen Carapetyan,Oliver Strunk,"Reported by Oliver Strunk: ""As godfather to the edition of [Jacques] Arcadelt I report to you that Vols. VIII and IX, the chansons, came out some weeks ago (delayed some months because of the move from Nijmegen), and that the remaining vols.: II, VII, X are in various stages of preparation. I only need from [Albert] Seay the introductions to II and X. The year 1969 will see the edition completed - and that is a record by any standard! To think that I am still struggling with the editions of Gombert, Willaert, started 20 years ago, as also with others long overdue!""","New York Public Library, Library for the Performing Arts","JPB 92-71 (Gustave Reese papers), Series 1, Folder 1255",
1969,1,2,1969-1-2,,,Armen Carapetyan,Heinrich Besseler,Carapetyan encloses a check for royalty payment.,Universitätsarchiv Leipzig,NA Besseler (Nachlass Heinrich Besseler) 15,
1969,1,17,1969-1-17,,,Armen Carapetyan,Donald J. Grout,"It is too much trouble to own Spanish property; should something happen to Armen, Harriette could not maintain it.","Cornell University, Division of Rare and Manuscript Collections","Donald Jay Grout Papers, 1929–2002, Box 52, Folder 35",
1969,1,19,1969-1-19,,,Erwin R. Jacobi,Armen Carapetyan,"Jacobi has not yet received third proofs for vol. 4, third proofs of the facsimile part of vol. 6; Dresden interested in purchasing an edition, but has no foreign currency available (wants to exchange materials).",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 32:6",
1969,1,20,1969-1-20,"Finca de S. Bárbara, Altea la Vieja (Alicante)",Spain,Heinrich Besseler,Armen Carapetyan,Besseler likewise wishes Carapetyan happy New Year and thanks him for the royalty check.,Universitätsarchiv Leipzig,NA Besseler (Nachlass Heinrich Besseler) 15,
1969,2,3,1969-2-3,Amsterdam,The Netherlands,Armen Carapetyan,Donald J. Grout,Carapetyan is working with an engraver in The Hague.,"Cornell University, Division of Rare and Manuscript Collections","Donald Jay Grout Papers, 1929–2002, Box 52, Folder 35",
1969,2,10,1969-2-10,,,Erwin R. Jacobi,Armen Carapetyan,Jacobi offers update for progress on vol. 5 of the Jean-Philippe Rameau edition; sold edition to musicological institute of the University of Frankfurt; inquires about sending review copies.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 32:6",
1969,2,12,1969-2-12,,,Armen Carapetyan,Erwin R. Jacobi,"Jacobi has caused trouble by interfering directly with the printer; everything must be done through Carapetyan (Jo. Willemsen and his successor were baffled by the numerous changes); not interested in Jacobi's proposal to exchange publications with Dresden; Carapetyan has ""32 items at Blikman & Sartorius alone, 10 items at Nijmegen still, others elsewhere.""",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 32:6",
1969,3,3,1969-3-3,,,Erwin R. Jacobi,Armen Carapetyan,Jacobi is pleased to let Carapetyan handle correspondence with the printer.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 32:6",
1969,3,15,1969-3-15,,,Armen Carapetyan,Donald J. Grout,"""In 2 years 2 engravers got themselves killed or maimed by motor accident!""","Cornell University, Division of Rare and Manuscript Collections","Donald Jay Grout Papers, 1929–2002, Box 52, Folder 35",
1969,3,18,1969-3-18,,,Erwin R. Jacobi,Armen Carapetyan,Jacobi again wants to work directly with the printer Jo. Willemsen on proofs.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 32:6",
1969,3,23,1969-3-23,,,Erwin R. Jacobi,Armen Carapetyan,Reviews will help competition against Broude Brothers edition; Jacobi wants to have vol. 5 out by his birthday in September.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 32:6",
1969,4,4,1969-4-4,,,Erwin R. Jacobi,Armen Carapetyan,The translation for the introduction to vol. 5 is partially complete; Jacobi asks about an advertisement at a French cultural symposium.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 32:6",
1969,4,4,1969-4-4,,,Erwin R. Jacobi,Armen Carapetyan,Jacobi notes the discovery of a document for the facsimile part of vol. 6.,Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 32:6",
1969,4,13,1969-4-13,,,Erwin R. Jacobi,Armen Carapetyan,"Jacobi is sending partial introduction for vol. 5, despite acknowledging that it is contrary to Carapetyan's instructions; thinks Carapetyan will change his decision about starting work on the incomplete introduction after seeing the material.",Zentralbibliothek Zürich,"Nachlass Erwin R. Jacobi (Mus NL 150), Aab 32:6",
